date,KB금융
2013-01-01,0.0584233333333333
2013-01-02,0.0537733333333333
2013-01-03,0.0828466666666666
2013-01-04,0.1291933333333333
2013-01-05,0.1216766666666666
2013-01-06,0.25248
2013-01-07,0.1435733333333333
2013-01-08,-0.0300599999999999
2013-01-09,0.0874233333333333
2013-01-10,0.0470366666666666
2013-01-11,0.0233666666666666
2013-01-12,-0.0115633333333333
2013-01-13,0.02564
2013-01-14,0.04376
2013-01-15,-0.02413
2013-01-16,0.1041633333333333
2013-01-17,-0.0068366666666666
2013-01-18,0.1011266666666666
2013-01-19,0.00086
2013-01-20,-0.0076266666666666
2013-01-21,0.03624
2013-01-22,0.12486
2013-01-23,0.0856099999999999
2013-01-24,-0.09509
2013-01-25,0.0386033333333333
2013-01-26,0.0357066666666666
2013-01-27,0.16264
2013-01-28,0.0308266666666666
2013-01-29,0.11745
2013-01-30,-0.0281666666666666
2013-01-31,0.0719233333333333
2013-02-01,0.0845966666666666
2013-02-02,0.14484
2013-02-03,0.3076266666666666
2013-02-04,0.13092
2013-02-05,0.0362866666666666
2013-02-06,0.0247933333333333
2013-02-07,0.2136233333333333
2013-02-08,0.0175966666666666
2013-02-09,0.0
2013-02-10,-0.0233433333333333
2013-02-11,0.0962866666666666
2013-02-12,0.0818499999999999
2013-02-13,0.1346433333333333
2013-02-14,0.0797433333333333
2013-02-15,0.03784
2013-02-16,0.1251033333333333
2013-02-17,0.0941766666666666
2013-02-18,0.0423599999999999
2013-02-19,0.0353566666666666
2013-02-20,0.1004466666666666
2013-02-20,0.1004466666666666
2013-02-21,0.1306599999999999
2013-02-22,0.05871
2013-02-23,0.0152933333333333
2013-02-24,0.1121166666666666
2013-02-25,0.0624766666666667
2013-02-26,0.09942
2013-02-27,0.22335
2013-02-28,0.0712466666666666
2013-03-01,0.0012066666666666
2013-03-02,-0.1131933333333333
2013-03-03,0.2312633333333333
2013-03-04,0.0253966666666666
2013-03-05,0.0478666666666666
2013-03-06,0.1606166666666666
2013-03-07,0.0361866666666666
2013-03-08,0.01833
2013-03-09,-0.0004066666666666
2013-03-10,0.0198466666666666
2013-03-11,-0.0285033333333333
2013-03-12,0.0057599999999999
2013-03-13,0.17503
2013-03-14,-0.03269
2013-03-15,0.1479766666666666
2013-03-16,0.0752433333333333
2013-03-17,0.1374433333333333
2013-03-18,-0.0311233333333333
2013-03-19,0.0015466666666666
2013-03-20,0.0257199999999999
2013-03-21,0.0918566666666666
2013-03-22,0.0349366666666666
2013-03-23,0.0089333333333333
2013-03-24,0.0183666666666666
2013-03-25,0.1445266666666667
2013-03-26,0.0968566666666666
2013-03-27,0.1290066666666666
2013-03-28,0.00554
2013-03-29,0.1120699999999999
2013-03-30,-0.0040733333333333
2013-03-31,0.0072499999999999
2013-04-01,0.0356466666666666
2013-04-02,0.0664199999999999
2013-04-03,-0.0618333333333333
2013-04-04,0.06602
2013-04-05,0.0138366666666666
2013-04-06,0.01468
2013-04-07,0.0239233333333333
2013-04-08,0.2525933333333333
2013-04-09,0.0558233333333333
2013-04-10,0.0869133333333333
2013-04-11,-0.0013866666666666
2013-04-12,0.1468699999999999
2013-04-13,0.18776
2013-04-14,-0.1163233333333333
2013-04-15,0.1111333333333333
2013-04-16,0.1202833333333333
2013-04-17,0.07512
2013-04-18,0.1615066666666666
2013-04-19,0.1226933333333333
2013-04-20,0.01338
2013-04-21,-0.02443
2013-04-22,0.0805533333333333
2013-04-23,0.1352
2013-04-24,0.1545866666666666
2013-04-25,0.1907366666666667
2013-04-26,0.2858066666666667
2013-04-27,0.12946
2013-04-28,0.25139
2013-04-29,0.10327
2013-04-30,0.11642
2013-05-01,0.1723333333333333
2013-05-02,0.1176466666666666
2013-05-03,0.12786
2013-05-04,0.1823433333333333
2013-05-05,0.14152
2013-05-06,0.20689
2013-05-07,0.01619
2013-05-08,0.0474799999999999
2013-05-09,0.1265266666666666
2013-05-10,0.08409
2013-05-11,0.1090333333333333
2013-05-12,0.0920833333333333
2013-05-13,0.0858866666666666
2013-05-14,0.0207766666666666
2013-05-15,0.1197866666666666
2013-05-16,0.0379366666666666
2013-05-17,-0.0527766666666666
2013-05-18,0.1234933333333333
2013-05-19,0.1264466666666666
2013-05-20,0.2164133333333333
2013-05-21,0.10554
2013-05-22,0.06047
2013-05-23,0.13524
2013-05-24,0.0644466666666666
2013-05-25,0.0377399999999999
2013-05-26,0.27157
2013-05-27,0.1109733333333333
2013-05-28,0.11926
2013-05-29,0.1659866666666666
2013-05-30,0.1589566666666667
2013-05-31,0.12693
2013-06-01,0.0349966666666666
2013-06-02,0.0297466666666666
2013-06-03,0.17919
2013-06-04,0.02344
2013-06-05,0.0369133333333333
2013-06-06,-0.0252166666666666
2013-06-07,0.0531499999999999
2013-06-08,0.0041066666666666
2013-06-09,0.0814866666666666
2013-06-10,0.1588933333333333
2013-06-11,0.10531
2013-06-12,-0.00198
2013-06-13,0.1161599999999999
2013-06-14,0.1751233333333333
2013-06-15,0.0733266666666666
2013-06-16,0.1247633333333333
2013-06-17,0.0552899999999999
2013-06-18,0.0613433333333333
2013-06-19,0.1570733333333333
2013-06-20,0.0824766666666666
2013-06-21,0.0735166666666666
2013-06-22,0.03862
2013-06-23,0.3542566666666667
2013-06-24,0.2372133333333333
2013-06-25,0.1141666666666666
2013-06-26,0.2568933333333333
2013-06-27,0.2002466666666666
2013-06-28,0.2462966666666667
2013-06-29,0.1470733333333333
2013-06-30,0.1742
2013-07-01,0.2063266666666666
2013-07-02,0.1672266666666667
2013-07-03,0.08088
2013-07-04,0.0767299999999999
2013-07-05,0.0918066666666666
2013-07-06,0.0010033333333333
2013-07-07,0.0033933333333333
2013-07-08,0.1111499999999999
2013-07-09,0.0565133333333333
2013-07-10,0.05342
2013-07-11,0.0660133333333333
2013-07-12,0.06902
2013-07-13,0.0461699999999999
2013-07-14,0.1083266666666666
2013-07-15,0.21558
2013-07-16,0.1612766666666666
2013-07-17,0.0338266666666666
2013-07-18,0.09587
2013-07-19,0.0005199999999999
2013-07-20,0.0160599999999999
2013-07-21,0.1088033333333333
2013-07-22,0.08127
2013-07-23,0.11853
2013-07-24,0.08548
2013-07-25,0.1428133333333333
2013-07-26,0.2916133333333333
2013-07-27,0.07857
2013-07-28,0.04632
2013-07-29,0.03064
2013-07-30,0.1022399999999999
2013-07-31,0.0490666666666666
