date,하나금융지주
2013-07-06,-0.01702
2013-07-07,0.1106833333333333
2013-07-08,0.1506233333333333
2013-07-09,0.12425
2013-07-10,0.0302933333333333
2013-07-11,0.0632099999999999
2013-07-12,0.14317
2013-07-13,0.2118566666666667
2013-07-14,-0.00288
2013-07-15,0.27291
2013-07-16,0.22664
2013-07-17,0.0475833333333333
2013-07-18,0.1460633333333333
2013-07-19,0.1435866666666666
2013-07-20,0.1734866666666666
2013-07-21,0.2035766666666666
2013-07-22,0.1260266666666666
2013-07-23,0.0082233333333333
2013-07-24,0.09476
2013-07-25,0.1234933333333333
2013-07-26,0.0600033333333333
2013-07-27,0.0098666666666666
2013-07-28,0.0134866666666666
2013-07-29,0.0839066666666666
2013-07-30,0.1315566666666666
2013-07-31,0.1389266666666666
2013-08-01,-0.0012333333333333
2013-08-02,0.1171066666666666
2013-08-03,0.0166233333333333
2013-08-04,0.0837266666666666
2013-08-05,0.17668
2013-08-06,0.0400433333333333
2013-08-07,0.1412466666666667
2013-08-08,0.0901733333333333
2013-08-09,0.02051
2013-08-10,-0.0153466666666666
2013-08-11,0.2342533333333333
2013-08-12,0.1299766666666666
2013-08-13,0.02743
2013-08-14,0.21124
2013-08-15,0.24216
2013-08-16,0.1578333333333333
2013-08-17,0.0730766666666666
2013-08-18,0.29701
2013-08-19,0.1095766666666666
2013-08-20,0.0471433333333333
2013-08-21,-0.0358699999999999
2013-08-22,0.09608
2013-08-23,0.0437066666666666
2013-08-24,0.1552566666666666
2013-08-25,0.0417533333333333
2013-08-26,0.1502733333333333
2013-08-27,0.0347866666666666
2013-08-28,-0.0035799999999999
2013-08-29,0.1446833333333333
2013-08-30,0.11843
2013-08-31,0.2072166666666667
2013-09-01,0.03233
2013-09-02,0.1207366666666666
2013-09-03,0.1474266666666666
2013-09-04,0.1038
2013-09-05,0.1166866666666666
2013-09-06,0.1610133333333333
2013-09-07,0.1907399999999999
2013-09-08,0.2985300000000001
2013-09-09,0.15865
2013-09-10,0.07303
2013-09-11,0.21478
