date,NH투자증권
2021-01-01,0.14071333333333333
2021-01-02,0.10119666666666666
2021-01-03,0.2583966666666667
2021-01-04,0.5681333333333333
2021-01-05,0.22596666666666668
2021-01-06,0.3216133333333333
2021-01-07,0.4249066666666666
2021-01-08,0.24828666666666668
2021-01-09,0.11551333333333333
2021-01-10,0.17837666666666666
2021-01-11,0.42435999999999996
2021-01-12,0.3906
2021-01-13,0.4224633333333333
2021-01-14,0.3271666666666666
2021-01-15,0.4597699999999999
2021-01-16,0.07622333333333332
2021-01-17,0.30412
2021-01-18,0.3235433333333334
2021-01-19,0.23846666666666666
2021-01-20,0.3521566666666667
2021-01-21,0.46752333333333324
2021-01-22,0.2823866666666667
2021-01-23,0.12108666666666665
2021-01-24,0.1541933333333333
2021-01-25,0.42238666666666674
2021-01-26,0.3262566666666667
2021-01-27,0.2678266666666667
2021-01-28,0.4104866666666666
2021-01-29,0.48249999999999993
2021-01-30,-0.11887333333333334
2021-01-31,0.11394
2021-02-01,0.41757000000000005
2021-02-02,0.30153666666666673
2021-02-03,0.11131333333333332
2021-02-04,0.30844333333333324
2021-02-05,0.4724899999999999
2021-02-06,0.1236033333333333
2021-02-07,0.20128000000000004
2021-02-08,0.44883
2021-02-09,0.21220666666666674
2021-02-10,0.42394999999999994
2021-02-11,0.19295
2021-02-12,0.14894333333333332
2021-02-13,0.11843999999999998
2021-02-14,0.06252666666666665
2021-02-15,0.34123333333333333
2021-02-16,0.5661733333333332
2021-02-17,0.19604666666666665
2021-02-18,0.3494866666666667
2021-02-19,0.3953899999999999
2021-02-20,0.18058333333333335
2021-02-21,0.22132333333333332
2021-02-22,0.38844333333333325
2021-02-23,0.38935999999999993
2021-02-24,0.4186266666666666
2021-02-25,0.43380666666666656
2021-02-26,0.3053933333333333
2021-02-27,0.20947333333333334
2021-02-28,0.3787433333333334
2021-03-01,0.21494333333333338
2021-03-02,0.40197333333333324
2021-03-03,0.28761333333333333
2021-03-04,0.35824666666666666
2021-03-05,0.34195333333333333
2021-03-06,0.23542333333333337
2021-03-07,0.15510000000000004
2021-03-08,0.35412
2021-03-09,0.2786366666666667
2021-03-10,0.3327633333333333
2021-03-11,0.32754333333333335
2021-03-12,0.42344
2021-03-13,0.04866
2021-03-14,0.16232999999999997
2021-03-15,0.32612333333333343
2021-03-16,0.2285266666666667
2021-03-17,0.47537666666666656
2021-03-18,0.41735333333333335
2021-03-19,0.31033999999999995
2021-03-20,0.14180666666666666
2021-03-21,0.21775000000000003
2021-03-22,0.22808666666666663
2021-03-23,0.4243666666666666
2021-03-24,0.4486433333333333
2021-03-25,0.45025
2021-03-26,0.6598033333333333
2021-03-27,0.17948999999999996
2021-03-28,0.17910333333333336
2021-03-29,0.29013666666666676
2021-03-30,0.4249533333333334
2021-03-31,0.29057333333333335
2021-04-01,0.3616599999999999
2021-04-02,0.21933
2021-04-03,0.12536333333333333
2021-04-04,0.18977333333333332
2021-04-05,0.4759666666666666
2021-04-06,0.29673666666666676
2021-04-07,0.5732933333333333
2021-04-08,0.5339566666666665
2021-04-09,0.46225666666666654
2021-04-10,0.06935333333333334
2021-04-11,0.19071
2021-04-12,0.5200266666666665
2021-04-13,0.2891133333333334
2021-04-14,0.44251999999999997
2021-04-15,0.33249333333333325
2021-04-16,0.3333899999999999
2021-04-17,0.17261999999999997
2021-04-18,0.21528333333333335
2021-04-19,0.45622666666666656
2021-04-20,0.45226999999999984
2021-04-21,0.3768366666666666
2021-04-22,0.25044
2021-04-23,0.4211099999999999
2021-04-24,0.1675366666666667
2021-04-25,0.15956
2021-04-26,0.46124666666666664
2021-04-27,0.48457999999999984
2021-04-28,0.38245999999999997
2021-04-29,0.5569999999999999
2021-04-30,0.6753066666666668
2021-05-01,0.11202333333333334
2021-05-02,0.20826333333333333
2021-05-03,0.5803133333333333
2021-05-04,0.3932366666666666
2021-05-05,0.18819666666666668
2021-05-06,0.45101999999999987
2021-05-07,0.33606
2021-05-08,0.20601666666666665
2021-05-09,0.15343666666666664
2021-05-10,0.42448333333333327
2021-05-11,0.42041
