date,기업은행
2021-01-01,0.14419
2021-01-02,-0.00045
2021-01-03,0.2073566666666666
2021-01-04,0.11188
2021-01-05,0.3223433333333332
2021-01-06,0.2322933333333333
2021-01-07,0.25595
2021-01-08,0.1421933333333333
2021-01-09,0.05407
2021-01-10,0.2317966666666666
2021-01-11,0.0004299999999999
2021-01-12,0.1872266666666667
2021-01-13,0.2836633333333334
2021-01-14,0.00994
2021-01-15,0.17718
2021-01-16,-0.0195666666666666
2021-01-17,-0.04897
2021-01-18,0.1776466666666666
2021-01-19,0.0612966666666666
2021-01-20,0.1562866666666666
2021-01-21,0.0680733333333333
2021-01-22,0.3618066666666667
2021-01-23,0.1650066666666666
2021-01-24,0.1553366666666666
2021-01-25,0.0315633333333333
2021-01-26,0.12776
2021-01-27,0.1250266666666666
2021-01-28,0.14778
2021-01-29,0.03309
2021-01-30,-0.0258566666666666
2021-01-31,0.1194066666666666
2021-02-01,0.1062633333333333
2021-02-02,0.0344766666666666
2021-02-03,0.0535299999999999
2021-02-04,0.17498
2021-02-05,0.2478466666666667
2021-02-06,-0.0302133333333333
2021-02-07,0.0936133333333333
2021-02-08,0.19775
2021-02-09,0.1081099999999999
2021-02-10,0.2410066666666666
2021-02-11,0.1202366666666666
2021-02-12,0.0915433333333333
2021-02-13,0.05693
2021-02-14,0.1408166666666666
2021-02-15,0.0599466666666666
2021-02-16,0.1112933333333333
2021-02-17,0.2086
2021-02-18,0.1724733333333333
2021-02-19,0.02513
2021-02-20,0.0393466666666666
2021-02-21,0.0233166666666666
2021-02-22,0.1238666666666666
2021-02-23,0.1070666666666666
2021-02-24,-0.0035266666666666
2021-02-25,0.2899966666666667
2021-02-26,0.1702533333333333
2021-02-27,0.0270499999999999
2021-02-28,0.0812366666666666
2021-03-01,0.0529566666666666
2021-03-02,0.1536266666666666
2021-03-03,0.0535966666666666
2021-03-04,0.1495466666666666
2021-03-05,0.1149333333333333
2021-03-06,0.0994966666666666
2021-03-07,0.0745666666666666
2021-03-08,0.06688
2021-03-09,0.1694499999999999
2021-03-10,0.1139399999999999
2021-03-11,0.1829966666666666
2021-03-12,0.0621399999999999
2021-03-13,0.07145
2021-03-14,0.1779966666666667
2021-03-15,0.0591566666666666
2021-03-16,0.0687466666666666
2021-03-17,0.0920666666666666
2021-03-18,0.11512
2021-03-19,0.05353
2021-03-20,-0.1193166666666666
2021-03-21,0.0192766666666666
2021-03-22,0.1124066666666666
2021-03-23,0.0901633333333333
2021-03-24,0.04271
2021-03-25,0.1253
2021-03-26,0.1057733333333333
2021-03-27,0.0457833333333333
2021-03-28,-0.0533066666666666
2021-03-29,0.1141533333333333
2021-03-30,0.22216
2021-03-31,0.05541
2021-04-01,0.05293
2021-04-02,0.1874433333333333
2021-04-03,0.0086066666666666
2021-04-04,0.0223433333333333
2021-04-05,0.1756566666666666
2021-04-06,0.1779533333333333
2021-04-07,0.0635033333333333
2021-04-08,0.1115
2021-04-09,0.08904
2021-04-10,0.07952
2021-04-11,0.1508766666666666
2021-04-12,0.0640533333333333
2021-04-13,0.3003466666666667
2021-04-14,0.0919966666666666
2021-04-15,0.11714
2021-04-16,0.1440433333333333
2021-04-17,0.02007
2021-04-18,0.1337333333333333
2021-04-19,0.1661766666666667
2021-04-20,0.14998
2021-04-21,0.1025333333333333
2021-04-22,0.1399333333333333
2021-04-23,0.2864666666666667
2021-04-24,0.0899733333333333
2021-04-25,0.2765166666666667
2021-04-26,0.40435
2021-04-27,0.1645733333333333
2021-04-28,0.2191166666666666
2021-04-29,0.1992433333333333
2021-04-30,0.2115666666666666
2021-05-01,-0.0373799999999999
2021-05-02,0.1408433333333333
2021-05-03,0.2424233333333333
2021-05-04,0.07053
2021-05-05,0.1250633333333333
2021-05-06,0.28018
2021-05-07,0.19185
2021-05-08,-0.0110033333333333
2021-05-09,0.1164666666666666
2021-05-10,0.1639266666666667
2021-05-11,0.16087
2021-05-12,0.1857699999999999
2021-05-13,0.2324533333333333
2021-05-14,0.16383
2021-05-15,0.07057
2021-05-16,0.1698666666666666
2021-05-17,0.12572
2021-05-18,-0.0090833333333333
2021-05-19,-0.10239
2021-05-20,0.1574533333333333
2021-05-21,0.11589
2021-05-22,0.0481666666666666
2021-05-23,0.14208
2021-05-24,0.0044566666666666
2021-05-25,0.12208
2021-05-26,0.0741966666666666
2021-05-27,0.1947066666666667
2021-05-28,0.16515
2021-05-29,0.0945366666666666
2021-05-30,0.0329999999999999
2021-05-31,0.23017
2021-06-01,0.1199699999999999
2021-06-02,0.08548
2021-06-03,0.1890466666666666
2021-06-04,0.1784866666666666
2021-06-05,0.0464666666666666
2021-06-06,0.00541
2021-06-07,0.0485499999999999
2021-06-08,0.2120433333333333
2021-06-09,0.25354
2021-06-10,0.1590366666666666
2021-06-11,0.1491366666666666
2021-06-12,0.0587033333333333
2021-06-13,0.2319866666666667
2021-06-14,0.1439499999999999
2021-06-15,0.17193
2021-06-16,0.2268633333333333
2021-06-17,0.1425466666666666
2021-06-18,0.1036699999999999
2021-06-19,0.0072633333333333
2021-06-20,0.0201666666666666
2021-06-21,0.2164866666666666
2021-06-22,0.1881466666666666
2021-06-23,0.1295233333333333
2021-06-24,0.2424533333333333
2021-06-25,0.0562533333333333
2021-06-26,0.0115266666666666
2021-06-27,0.0834233333333333
2021-06-28,0.2779199999999999
2021-06-29,0.15911
2021-06-30,0.1923966666666666
2021-07-01,0.2007833333333333
2021-07-02,0.1943933333333333
2021-07-03,-0.02408
2021-07-04,0.14696
2021-07-05,0.0460133333333333
2021-07-06,0.0899266666666666
2021-07-07,0.1715799999999999
2021-07-08,0.1001866666666666
2021-07-09,0.1257866666666666
2021-07-10,0.11219
2021-07-11,0.0922233333333333
2021-07-12,0.26345
2021-07-13,0.25549
2021-07-14,0.0
2021-07-15,0.17363
2021-07-16,0.13754
2021-07-17,0.0507166666666666
2021-07-18,0.3412366666666667
2021-07-19,0.1629866666666667
2021-07-20,0.0646366666666666
2021-07-21,0.2846599999999999
2021-07-22,0.1479466666666667
2021-07-23,0.16582
2021-07-24,0.1335466666666667
2021-07-25,0.0816966666666666
2021-07-26,0.4277999999999999
2021-07-27,0.24536
2021-07-28,0.1736866666666666
2021-07-29,0.1627366666666666
2021-07-30,0.1002766666666666
2021-07-31,-0.0361133333333333
2021-08-01,0.16784
2021-08-02,0.1749999999999999
