date,메리츠금융지주
2021-01-01,0.0987533333333333
2021-01-02,0.0714533333333333
2021-01-03,-0.00454
2021-01-04,0.0350133333333333
2021-01-05,0.08535
2021-01-06,0.1116699999999999
2021-01-07,0.0885366666666666
2021-01-08,-0.0292866666666666
2021-01-09,0.0363833333333333
2021-01-10,0.0746366666666666
2021-01-11,0.17355
2021-01-12,-0.0038466666666666
2021-01-13,0.15467
2021-01-14,0.1680266666666666
2021-01-15,0.19233
2021-01-16,0.0312099999999999
2021-01-17,-0.05902
2021-01-18,0.1140099999999999
2021-01-19,0.0242199999999999
2021-01-20,0.0694833333333333
2021-01-21,0.1471666666666667
2021-01-22,0.1563333333333333
2021-01-23,0.1794
2021-01-24,0.0668966666666666
2021-01-25,0.0743199999999999
2021-01-26,0.1317166666666666
2021-01-27,0.1080199999999999
2021-01-28,0.1718033333333333
2021-01-29,0.1136933333333333
2021-01-30,0.0370766666666666
2021-01-31,0.1155633333333333
2021-02-01,0.2662433333333334
2021-02-02,0.1764133333333333
2021-02-03,0.1100333333333333
2021-02-04,0.04824
2021-02-05,0.1161766666666666
2021-02-06,0.0743833333333333
2021-02-07,0.1180566666666666
2021-02-08,0.2198233333333333
2021-02-09,0.1664633333333333
2021-02-10,0.1180233333333333
2021-02-11,0.05654
2021-02-12,0.0381266666666666
2021-02-13,0.0623666666666666
2021-02-14,0.1698333333333333
2021-02-15,0.1468666666666666
2021-02-16,0.1034633333333333
2021-02-17,0.3167366666666667
2021-02-18,0.1955966666666666
2021-02-19,0.08668
2021-02-20,-0.03837
2021-02-21,0.0932633333333333
2021-02-22,0.1373366666666666
2021-02-23,0.15451
2021-02-24,0.2618666666666666
2021-02-25,0.2097533333333333
2021-02-26,0.1031133333333333
2021-02-27,0.0600066666666666
2021-02-28,0.1146933333333333
2021-03-01,0.10907
2021-03-02,0.26576
2021-03-03,0.0787866666666666
2021-03-04,0.0538099999999999
2021-03-05,0.1107833333333333
2021-03-06,0.0183533333333333
2021-03-07,0.0305633333333333
2021-03-08,0.2388333333333333
2021-03-09,0.2701333333333334
2021-03-10,0.22785
2021-03-11,0.19212
2021-03-12,0.0891733333333333
2021-03-13,0.0572033333333333
2021-03-14,-0.0091733333333333
2021-03-15,0.1509466666666667
2021-03-16,0.1415233333333333
2021-03-17,0.24774
2021-03-18,0.0800866666666666
2021-03-19,0.21848
2021-03-20,-0.01436
2021-03-21,0.10554
2021-03-22,0.2223866666666666
2021-03-23,0.25342
2021-03-24,0.2023466666666667
2021-03-25,0.1800066666666666
2021-03-26,0.01702
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.03829
2021-03-30,0.01894
2021-03-31,0.0206266666666666
2021-04-01,0.0369566666666666
2021-04-02,0.0443166666666666
2021-04-03,0.01953
2021-04-04,0.0467866666666666
2021-04-05,0.0856066666666666
2021-04-06,0.1841466666666666
2021-04-07,0.1096666666666666
2021-04-08,0.05442
2021-04-09,0.07884
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,0.1755066666666666
2021-04-13,0.0954866666666666
2021-04-14,0.0819666666666666
2021-04-15,0.0798866666666666
2021-04-16,0.0983333333333333
2021-04-17,0.0
2021-04-18,0.0127266666666666
2021-04-19,0.0934433333333333
2021-04-20,0.1100366666666666
2021-04-21,0.0595966666666666
2021-04-22,0.1309866666666666
2021-04-23,0.06598
2021-04-24,0.0175566666666666
2021-04-25,-0.0098666666666666
2021-04-26,0.0885033333333333
2021-04-27,0.0644633333333333
2021-04-28,0.0660733333333333
2021-04-29,0.0316266666666666
2021-04-30,0.0761333333333333
2021-05-01,0.0152933333333333
2021-05-02,0.0276866666666666
2021-05-03,0.0689366666666666
2021-05-04,0.02237
2021-05-05,0.0050633333333333
2021-05-06,0.1387633333333333
2021-05-07,0.1833433333333333
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.03514
2021-05-11,0.0346999999999999
2021-05-12,0.06586
2021-05-13,0.0498166666666666
2021-05-14,0.1702433333333333
2021-05-15,0.0690366666666666
2021-05-16,0.0180766666666666
2021-05-17,0.1641366666666666
2021-05-18,0.1895566666666666
2021-05-19,0.07533
2021-05-20,0.23739
2021-05-21,0.0371966666666666
2021-05-22,0.0189466666666666
2021-05-23,0.1602299999999999
2021-05-24,0.0361866666666666
2021-05-25,0.1849433333333333
2021-05-26,0.0097366666666666
2021-05-27,0.0288666666666666
2021-05-28,0.0274233333333333
2021-05-29,0.0
2021-05-30,0.0087733333333333
2021-05-31,0.0364899999999999
2021-06-01,0.0087599999999999
2021-06-02,0.0140799999999999
2021-06-03,0.1840633333333333
2021-06-04,0.0080133333333333
2021-06-05,0.0549366666666666
2021-06-06,0.0
2021-06-07,0.0482533333333333
2021-06-08,0.0684666666666666
2021-06-09,0.0751033333333333
2021-06-10,0.1066366666666666
2021-06-11,0.0270866666666666
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.07274
2021-06-15,0.02951
2021-06-16,0.10041
2021-06-17,0.1924666666666666
2021-06-18,0.1487366666666666
2021-06-19,0.0
2021-06-20,0.01826
2021-06-21,0.08177
2021-06-22,0.1287333333333333
2021-06-23,0.0053566666666666
2021-06-24,0.0582366666666666
2021-06-25,0.0032633333333333
2021-06-26,0.0
2021-06-27,-0.0127266666666666
2021-06-28,0.1765333333333333
2021-06-29,0.05244
2021-06-30,0.0764066666666666
2021-07-01,0.1049666666666666
2021-07-02,0.2192566666666667
2021-07-03,0.0461666666666666
2021-07-04,0.0366766666666666
2021-07-05,0.0675
2021-07-06,0.02175
2021-07-07,0.0306966666666666
2021-07-08,0.1075133333333333
2021-07-09,0.0369066666666666
2021-07-10,0.0263533333333333
2021-07-11,-0.00172
2021-07-12,0.0392333333333333
