date,미래에셋증권
2021-01-01,0.07888
2021-01-02,0.0
2021-01-03,0.05674333333333333
2021-01-04,0.1733866666666667
2021-01-05,0.25375666666666663
2021-01-06,0.07962000000000001
2021-01-07,0.17654666666666669
2021-01-08,0.15990333333333334
2021-01-09,0.01468
2021-01-10,0.08126000000000001
2021-01-11,0.26876333333333335
2021-01-12,0.12241333333333332
2021-01-13,0.23411
2021-01-14,0.32397
2021-01-15,0.2539666666666667
2021-01-16,0.01906333333333333
2021-01-17,0.06975666666666668
2021-01-18,0.28306
2021-01-19,0.23447333333333334
2021-01-20,0.1893266666666667
2021-01-21,0.2200366666666667
2021-01-22,0.17967666666666665
2021-01-23,0.014796666666666665
2021-01-24,0.05246666666666667
2021-01-25,0.1308733333333333
2021-01-26,0.09659666666666665
2021-01-27,0.13332333333333332
2021-01-28,0.15576333333333334
2021-01-29,0.2576333333333333
2021-01-30,-0.013396666666666666
2021-01-31,0.041723333333333334
2021-02-01,0.18514
2021-02-02,0.4083566666666666
2021-02-03,0.1712866666666667
2021-02-04,0.24875333333333335
2021-02-05,0.18401000000000003
2021-02-06,0.04365666666666666
2021-02-07,0.08623666666666667
2021-02-08,0.13069999999999998
2021-02-09,0.19525333333333333
2021-02-10,0.30739999999999995
2021-02-11,0.05569
2021-02-12,0.03378333333333334
2021-02-13,0.15055333333333334
2021-02-14,0.017433333333333332
2021-02-15,0.2287166666666667
2021-02-16,0.3796633333333333
2021-02-17,0.19007666666666673
2021-02-18,0.18559666666666666
2021-02-19,0.32248666666666664
2021-02-20,-0.01204
2021-02-21,0.20759000000000002
2021-02-22,0.17
2021-02-23,0.07986333333333331
2021-02-24,0.11161
2021-02-25,0.31850000000000006
2021-02-26,0.18448666666666666
2021-02-27,0.0025733333333333333
2021-02-28,0.03963333333333333
2021-03-01,0.05629666666666666
2021-03-02,0.3932033333333333
2021-03-03,0.17702666666666664
2021-03-04,0.1918833333333333
2021-03-05,0.2076333333333333
2021-03-06,0.06633666666666667
2021-03-07,0.17395666666666668
2021-03-08,0.22542999999999996
2021-03-09,0.12550666666666663
2021-03-10,0.18801999999999996
2021-03-11,0.2477266666666667
2021-03-12,0.29822
2021-03-13,0.003
2021-03-14,0.008099999999999998
2021-03-15,0.3105866666666667
2021-03-16,0.15958333333333333
2021-03-17,0.24782333333333337
2021-03-18,0.2520466666666667
2021-03-19,0.17685333333333336
