date,메리츠금융지주
2023-10-10,0.0183033333333333
2023-10-11,0.0529933333333333
2023-10-12,0.0836333333333333
2023-10-13,0.2135066666666666
2023-10-14,-0.0506533333333333
2023-10-15,0.14407
2023-10-16,0.0922233333333333
2023-10-17,0.0569566666666666
2023-10-18,0.1465733333333333
2023-10-19,0.1416233333333333
2023-10-20,0.0793266666666666
2023-10-21,0.0534666666666666
2023-10-22,0.076
2023-10-23,0.0647533333333333
2023-10-24,0.1045333333333333
2023-10-25,0.0745566666666666
2023-10-26,0.0250533333333333
2023-10-27,0.0747466666666666
2023-10-28,0.11753
2023-10-29,0.0286366666666666
