date,NH투자증권
2023-10-10,0.42074
2023-10-11,0.4158533333333333
2023-10-12,0.1303933333333334
2023-10-13,0.3817199999999999
2023-10-14,-0.0012533333333333
2023-10-15,0.0926433333333333
2023-10-16,0.3249833333333333
2023-10-17,0.3969466666666666
2023-10-18,0.3875499999999999
2023-10-19,0.2715033333333333
2023-10-20,0.2811533333333333
2023-10-21,0.0706466666666666
2023-10-22,0.1670766666666666
2023-10-23,0.46157
2023-10-24,0.38682
2023-10-25,0.3562766666666665
2023-10-26,0.5188933333333333
2023-10-27,0.6990133333333334
2023-10-28,0.2752166666666667
2023-10-29,0.0744733333333333
