date,KB금융
2023-10-10,0.1653733333333333
2023-10-11,0.1104433333333333
2023-10-12,0.3245766666666666
2023-10-13,0.13859
2023-10-14,0.10613
2023-10-15,0.1554333333333333
2023-10-16,0.0961899999999999
2023-10-17,0.346
2023-10-18,0.3905700000000001
2023-10-19,0.20424
2023-10-20,0.1060199999999999
2023-10-21,0.1062299999999999
2023-10-22,0.2630833333333334
2023-10-23,0.2127433333333333
2023-10-24,0.2968066666666668
2023-10-25,0.0793666666666666
2023-10-26,0.2350366666666666
2023-10-27,0.3483166666666667
2023-10-28,-0.0961733333333333
2023-10-29,0.1948833333333333
