date,삼성증권
2023-10-10,0.2127566666666667
2023-10-11,0.17435
2023-10-12,0.2142566666666666
2023-10-13,0.32721
2023-10-14,0.1280133333333333
2023-10-15,0.1193066666666666
2023-10-16,0.2410199999999999
2023-10-17,0.1415933333333333
2023-10-18,0.0814966666666666
2023-10-19,0.12708
2023-10-20,0.0787099999999999
2023-10-21,0.1041333333333333
2023-10-22,0.2164133333333334
2023-10-23,0.21642
2023-10-24,0.1716133333333333
2023-10-25,0.2100633333333333
2023-10-26,0.0601233333333333
2023-10-27,0.1375199999999999
2023-10-28,0.1267866666666666
2023-10-29,0.0737633333333333
