날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2021-01-04,,,,,,,,4120038
2021-01-05,,,,,,,,2863048
2021-01-06,,,,,,,,4173194
2021-01-07,,,,,,,,5166139
2021-01-08,,,,,,,,4133444
2021-01-11,,,,,,,,4981137
2021-01-12,,,,,,,,3264949
2021-01-13,,,,,,,,4524400
2021-01-14,,,,,,,,2769776
2021-01-15,,,,,,,,3345712
2021-01-18,,,,,,,,2860178
2021-01-19,,,,,,,,1983336
2021-01-20,,,,,,,,2345818
2021-01-21,,,,,,13.636363636363635,,2165365
2021-01-22,,,,,,2.083333333333333,,2354910
2021-01-25,,,,,,8.620689655172415,8.113462208289794,2566266
2021-01-26,,,,,,1.4705882352941175,4.058203741266621,3788576
2021-01-27,,,,,,2.73972602739726,4.277001305954598,2071823
2021-01-28,32.49423585424166,,,,,5.681818181818182,3.2973774815031853,2931712
2021-01-29,27.70777515455969,,1270.615750588866,-181.38424941113408,-168.08922026463745,0.0,2.8071814030718136,4586758
2021-02-01,27.115963622309287,,944.4284962405964,198.42849624059727,-111.81458880508724,30.555555555555557,12.07912457912458,2696592
2021-02-02,25.85538752191952,,901.685250459821,267.68525045982096,-79.73969860623606,33.33333333333333,21.296296296296294,1414090
2021-02-03,27.264530737737072,,832.8936996383,344.89369963829995,-63.083706490307016,38.67924528301887,34.189378057302584,1672567
2021-02-04,29.267264845734342,,918.0616715380638,246.06167153806382,-74.1125629052493,32.94117647058823,34.98458502898014,1509279
2021-02-05,33.053725545416306,,746.1653891110145,374.16538911101543,-54.48226282622511,47.05882352941176,39.55974842767296,1725976
2021-02-08,35.23763359139332,,465.6480992786783,631.6480992786774,4.564063073300544,81.48148148148148,53.82716049382716,3918623
2021-02-09,38.827940348842624,,507.5245271331314,559.5245271331314,15.124449343891907,77.63157894736842,68.72396131942055,1984690
2021-02-10,42.06361095046401,,387.61721068787665,580.6172106878776,15.500468616339733,84.21052631578947,81.10786224821312,1598062
2021-02-15,45.64080298919451,,319.8260390208088,549.8260390208097,39.37135152281108,84.21052631578947,82.01754385964911,1449500
2021-02-16,47.890317174969866,,314.7765748892489,507.7765748892489,28.061801144299487,80.26315789473685,82.89473684210526,990855
2021-02-17,50.087319939410435,,245.96140059002028,564.9614005900203,53.23654236726327,88.1578947368421,84.21052631578947,1904397
2021-02-18,51.86752739665742,,312.3316552213455,454.3316552213464,38.66599645188859,75.0,81.14035087719299,1350572
2021-02-19,54.896857616998886,,237.11773223107957,509.11773223107866,27.495545635803804,82.89473684210526,82.01754385964911,1815975
2021-02-22,59.39211944019593,,254.52234567132837,461.52234567132837,51.71530375105676,77.63157894736842,78.50877192982456,1828356
2021-02-23,62.156252897100465,-2.3991780423550315,211.70662247456494,500.70662247456494,66.94203035697028,74.50980392156863,78.3453732370141,1609470
2021-02-24,62.95432402428552,-5.020332040904842,251.70662247456494,460.70662247456494,53.623567122484125,66.66666666666666,72.9360165118679,2002790
2021-02-25,64.5241688136425,1.802517259642217,174.67269707003652,559.6726970700356,63.24194470921239,86.27450980392157,75.81699346405229,1704975
2021-02-26,63.95318807024796,-11.361645118373247,366.8561360317235,362.8561360317244,11.504522424441475,42.22222222222222,65.05446623093682,2858023
2021-03-02,60.971643299229505,-3.979321324694176,303.11158606310164,388.11158606310164,24.661503995109555,41.17647058823529,56.55773420479303,1410580
2021-03-03,58.59207841966463,6.190038937021842,99.05098176565843,413.05098176565934,54.688375376028894,84.375,55.9245642701525,2070910
2021-03-04,58.0682688958551,5.475244800346121,71.80297776555017,423.80297776555017,91.64219473066693,81.57894736842105,69.04347265221878,2495334
2021-03-05,57.359549044278104,6.517340296221056,26.555394124916347,472.55539412491635,130.31988245107152,77.55102040816327,81.16832259219477,3800549
2021-03-08,58.68333630319103,14.704542480295862,-94.72756834684697,690.272431653153,164.85784971893565,100.0,86.3766559255281,4294872
2021-03-09,61.49235674011844,15.252492400211258,-149.6924937139229,827.3075062860762,195.58130203144518,93.5064935064935,90.35250463821893,6055989
2021-03-10,64.97104607246631,6.032640089364666,-71.77777155837612,829.2222284416239,151.34010359940547,93.5064935064935,95.67099567099565,3432807
2021-03-11,68.6087272318866,1.040441713324622,-12.443717116684638,876.5562828833154,160.46606192785026,82.22222222222221,89.74506974506973,4134258
2021-03-12,71.15795745028974,-6.626676661910224,92.8374048627702,827.8374048627702,105.15136021588891,75.5813953488372,83.77003702585098,2416771
2021-03-15,73.11003226034235,-4.380840603446288,94.00617937750394,894.006179377503,115.41311170810688,82.55813953488372,80.12058570198104,2054784
2021-03-16,74.17979970220281,-1.6307184931718783,84.07171496329647,981.0717149632974,112.95745412463016,91.86046511627907,83.33333333333333,2089916
2021-03-17,76.09349576224034,-4.316848328117921,135.13156349294695,985.131563492947,104.58272770613361,93.02325581395348,89.14728682170544,1569225
