date,삼성증권
2021-01-01,0.08394333333333334
2021-01-02,0.10548666666666669
2021-01-03,0.09448
2021-01-04,0.16528333333333337
2021-01-05,0.03383000000000001
2021-01-06,0.14926666666666666
2021-01-07,0.28486000000000006
2021-01-08,0.13512666666666667
2021-01-09,0.047563333333333326
2021-01-10,0.12875666666666666
2021-01-11,0.21747333333333335
2021-01-12,0.20565333333333335
2021-01-13,0.22605000000000003
2021-01-14,0.22058333333333335
2021-01-15,0.24949333333333332
2021-01-16,0.06411333333333333
2021-01-17,0.13977
2021-01-18,0.16834000000000002
2021-01-19,0.08577666666666667
2021-01-20,0.15722666666666668
2021-01-21,0.3126466666666667
2021-01-22,0.20509999999999995
2021-01-23,0.10110999999999999
2021-01-24,0.15815000000000004
2021-01-25,0.16559333333333331
2021-01-26,0.14145
2021-01-27,0.1552833333333333
2021-01-28,0.14092666666666667
2021-01-29,0.4557633333333333
2021-01-30,0.028336666666666663
2021-01-31,0.044320000000000005
2021-02-01,0.33813
2021-02-02,0.3674633333333333
2021-02-03,0.07335666666666667
2021-02-04,0.19475333333333333
2021-02-05,0.10702000000000002
2021-02-06,0.12733999999999998
2021-02-07,0.22531333333333337
2021-02-08,0.14472666666666667
2021-02-09,0.2870966666666666
2021-02-10,0.3560033333333334
2021-02-11,0.20226666666666665
2021-02-12,0.04021333333333333
2021-02-13,0.20994000000000002
2021-02-14,0.07443333333333332
2021-02-15,0.3586933333333333
2021-02-16,0.21916000000000002
2021-02-17,0.2873866666666666
2021-02-18,0.2663933333333334
2021-02-19,0.35590666666666665
2021-02-20,0.023359999999999995
2021-02-21,0.22636
2021-02-22,0.28123
2021-02-23,0.38618333333333327
2021-02-24,0.07448666666666666
2021-02-25,0.24165
2021-02-26,0.07243666666666666
2021-02-27,0.02427
2021-02-28,0.1851
2021-03-01,0.18742
2021-03-02,0.14901333333333336
2021-03-03,0.2144633333333333
2021-03-04,0.2613266666666667
2021-03-05,0.2668666666666667
2021-03-06,0.047823333333333336
2021-03-07,0.10655333333333333
2021-03-08,0.27243
2021-03-09,0.24216000000000004
2021-03-10,0.2689033333333334
2021-03-11,0.18575666666666668
2021-03-12,0.2836033333333334
2021-03-13,0.09901666666666668
2021-03-14,0.12782
2021-03-15,0.25548666666666675
2021-03-16,0.12518666666666667
2021-03-17,0.05111000000000002
2021-03-18,0.25081000000000003
2021-03-19,0.26532
2021-03-20,0.047139999999999994
2021-03-21,-0.14748666666666665
2021-03-22,0.34260333333333326
2021-03-23,0.22068333333333337
2021-03-24,0.12345000000000002
2021-03-25,0.2223166666666667
2021-03-26,0.22837333333333332
2021-03-27,0.09645999999999999
