날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2021-01-04,,,,,,,,319610
2021-01-05,,,,,,,,115471
2021-01-06,,,,,,,,224198
2021-01-07,,,,,,,,208620
2021-01-08,,,,,,,,164831
2021-01-11,,,,,,,,287213
2021-01-12,,,,,,,,355374
2021-01-13,,,,,,,,192053
2021-01-14,,,,,,,,172451
2021-01-15,,,,,,,,132202
2021-01-18,,,,,,,,214509
2021-01-19,,,,,,,,116632
2021-01-20,,,,,,,,122096
2021-01-21,,,,,,37.28813559322034,,101795
2021-01-22,,,,,,28.57142857142857,,81770
2021-01-25,,,,,,32.72727272727273,32.86227896397388,282016
2021-01-26,,,,,,32.72727272727273,31.341991341991342,239113
2021-01-27,,,,,,43.63636363636363,36.36363636363637,322888
2021-01-28,45.73404247067687,,,,,25.454545454545453,33.93939393939394,162646
2021-01-29,41.970306206940606,,448.6817019497321,10.681701949732087,-93.23605870355856,8.51063829787234,25.867182462927143,247970
2021-02-01,40.1424495975306,,382.2743762807895,91.27437628078951,-97.51181260776512,30.76923076923077,21.578138173882852,72070
2021-02-02,40.230563087705946,,205.63429479617662,267.6342947961766,9.348197126661388,65.38461538461539,34.88816148390617,189531
2021-02-03,40.671029700738934,,224.9896793119151,247.9896793119151,28.23344384718979,61.53846153846154,52.56410256410257,163648
2021-02-04,42.21091838348476,,202.97176047877474,241.97176047877474,25.25203633220532,74.4186046511628,67.1138938580799,202577
2021-02-05,48.28234695491333,,133.80613017820906,283.80613017820906,44.015557322977166,86.04651162790698,74.00119260584377,312624
2021-02-08,54.27398575089994,,-130.5642023840701,658.4357976159299,181.96959843916304,100.0,86.82170542635659,398783
2021-02-09,60.47598406557431,,-253.6158575229838,1069.3841424770162,220.70068607785132,90.9090909090909,92.3185341789993,587093
2021-02-10,67.92272283974673,,-322.9383630151424,1509.0616369848576,202.6022601686078,100.0,96.96969696969698,349724
2021-02-15,76.11824590964166,,-417.46235290004915,2089.537647099951,209.97838088211788,87.17948717948718,92.69619269619271,411707
2021-02-16,80.02601289993291,,-112.52615534885626,2076.4738446511437,151.13310099222244,82.05128205128204,89.74358974358974,327372
2021-02-17,82.17291032500678,,58.61580884040086,2102.615808840401,126.03889204997436,82.05128205128204,83.76068376068376,159691
2021-02-18,82.30070146207308,,243.57348595184885,2053.573485951849,109.73501564709586,79.48717948717949,81.19658119658119,234630
