날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2021-01-04,,,,,,,,977126
2021-01-05,,,,,,,,767476
2021-01-06,,,,,,,,2310034
2021-01-07,,,,,,,,1418204
2021-01-08,,,,,,,,1403694
2021-01-11,,,,,,,,2742269
2021-01-12,,,,,,,,1729487
2021-01-13,,,,,,,,779195
2021-01-14,,,,,,,,582845
2021-01-15,,,,,,,,1121169
2021-01-18,,,,,,,,771339
2021-01-19,,,,,,,,698070
2021-01-20,,,,,,,,767420
2021-01-21,,,,,,26.623376623376622,,461581
2021-01-22,,,,,,12.676056338028168,,646741
2021-01-25,,,,,,16.19718309859155,18.49887201999878,483121
2021-01-26,,,,,,3.5211267605633805,10.798122065727702,811369
2021-01-27,,,,,,8.450704225352112,9.389671361502348,709952
2021-01-28,41.72696260261983,,,,,4.45859872611465,5.476809904010047,617444
2021-01-29,35.28352231977398,,7447.63773191419,-607.3622680858098,-134.66527996681052,0.0,4.303100983822254,908488
2021-02-01,30.720075536378346,,6695.1512679215375,655.1512679215375,-130.19967043310436,19.565217391304348,8.007938705806332,589699
2021-02-02,28.315723132025944,,6416.159977411655,1311.1599774116548,-89.59629060084953,26.5625,15.375905797101447,579862
2021-02-03,27.818210694214997,,6084.840423210626,1869.8404232106259,-74.13276187518264,31.746031746031743,25.95791637911203,404034
2021-02-04,28.75326546729794,,6964.903938163836,1184.9039381638358,-87.53345278930426,18.095238095238095,25.467923280423282,604000
2021-02-05,33.574572274084666,,5732.792595644896,2142.792595644896,-71.83220376704207,34.285714285714285,28.04232804232804,400200
2021-02-08,35.98326792625858,,4388.840694129816,2528.8406941298163,-47.995635996078974,45.714285714285715,32.6984126984127,496150
2021-02-09,38.21976826802209,,3921.718043512752,2296.718043512752,-30.647493743593117,48.93617021276596,42.97872340425533,511352
2021-02-10,39.57449197568697,,3186.4926540231027,2251.4926540231027,-37.462334629789126,52.12765957446809,48.92603850050659,409046
2021-02-15,41.15277480396979,,2676.3653799458116,2071.3653799458116,-13.424911530151995,56.32183908045977,52.461889622564605,344478
2021-02-16,40.74177846577227,,2481.4842383066934,2056.4842383066934,-15.466983711250885,56.32183908045977,54.92377924512922,284148
2021-02-17,41.58375377441424,,2864.0705603980605,1669.0705603980605,-36.82864249528236,50.0,54.21455938697318,373087
2021-02-18,40.65646445284443,,3475.7044662976696,830.7044662976696,-69.68697843665569,37.28813559322034,47.86999155789337,402349
2021-02-19,40.81689226033106,,3326.7536537502747,876.7536537502747,-98.04320818684172,35.59322033898305,40.96045197740113,440635
2021-02-22,42.79416498760379,,3325.131491403161,630.1314914031609,-84.07007713487356,25.423728813559322,32.76836158192091,425380
2021-02-23,43.260876638525964,-19.877460983610554,3209.810341955221,624.8103419552208,-96.57752611928466,22.033898305084744,27.683615819209038,332495
2021-02-24,41.591378394104176,-38.186105167518775,3532.017032840842,142.01703284084215,-114.25281742508888,4.918032786885246,17.458553301843104,418038
2021-02-25,42.066762089539694,26.222398382337474,2701.898539887021,851.8985398870209,-87.02794207136209,26.229508196721312,17.727146429563767,406288
2021-02-26,41.14300842385054,-59.979471987099195,4024.5698427324533,-305.43015726754675,-159.11599721889166,10.843373493975903,13.996971492527488,873289
2021-03-02,37.13873491957703,6.835177443157885,3463.744662837533,403.7446628375328,-120.40641068256392,22.89156626506024,19.988149318585815,467757
2021-03-03,36.60518951761058,102.27940146389581,2060.451619563333,1730.4516195633332,-51.431556369615436,56.62650602409639,30.120481927710845,585159
2021-03-04,37.7530132052701,65.34507997592428,2149.0302234229166,1649.0302234229166,-22.375160298817867,54.21686746987952,44.57831325301205,431336
2021-03-05,37.12725964848206,5.3558398159803104,2765.1213487894056,1095.1213487894056,-59.971894083413424,38.55421686746988,49.799196787148595,419248
2021-03-08,37.179539959939234,13.431141237815854,2581.512562101998,1261.512562101998,-43.52118558704632,43.037974683544306,45.2696863402979,263107
2021-03-09,37.657497674739055,-10.035172327298284,2942.5484451391967,1002.5484451391967,-60.48614508797565,36.986301369863014,39.52616430695907,453488
2021-03-10,37.12340381941108,3.411274898310605,2774.331954212277,1189.3319542122772,-50.972611644649675,45.3125,41.778925351135776,250627
2021-03-11,38.56832045883573,39.27506109552968,2040.0333762539012,1715.0333762539012,-11.642414233754286,72.72727272727273,51.675358032378576,422499
2021-03-12,41.96878665930193,65.57445232288315,1256.3223025034022,2316.322302503402,31.182192961999014,94.64285714285714,70.89420995670996,377119
2021-03-15,46.16170980557193,65.75407848445387,694.5962308128655,2709.5962308128655,69.60324876135256,96.875,88.08170995670996,371708
2021-03-16,50.61659702361705,24.50913678226827,700.00712631637,2485.00712631637,91.87637141926757,84.28571428571429,91.93452380952381,384676
2021-03-17,54.84247066397806,-15.675554901324666,837.6640624338543,2027.6640624338543,60.16853938241249,74.28571428571429,85.14880952380953,286847
2021-03-18,56.50027485540753,-9.334590624699075,598.7376305598882,2133.737630559888,93.5856780236805,78.57142857142857,79.04761904761905,391703
2021-03-19,61.043864598997274,47.78297385802975,-119.89766414335463,3270.1023358566454,108.96815442616797,100.0,84.28571428571429,1247509
2021-03-22,62.97571112895787,-16.79887742884842,557.6275988337147,2752.6275988337147,100.81853896251539,83.07692307692308,87.21611721611721,278785
2021-03-23,61.30323726136205,-85.24402813786267,1569.0540308109994,1739.0540308109994,43.28024712297124,47.45762711864407,76.84485006518905,338589
2021-03-24,59.73115672444929,-48.63707772248044,1396.2914970725542,1911.2914970725542,11.540067013184904,54.23728813559322,61.59061277705345,189548
