날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2023-01-02,,,,,,,,547689
2023-01-03,,,,,,,,1031515
2023-01-04,,,,,,,,1083324
2023-01-05,,,,,,,,2515852
2023-01-06,,,,,,,,2935706
2023-01-09,,,,,,,,2076859
2023-01-10,,,,,,,,1926580
2023-01-11,,,,,,,,1804800
2023-01-12,,,,,,,,1818316
2023-01-13,,,,,,,,1708096
2023-01-16,,,,,,,,3019556
2023-01-17,,,,,,,,1750057
2023-01-18,,,,,,,,1487071
2023-01-19,,,,,,73.88059701492537,,1604477
2023-01-20,,,,,,72.38805970149254,,1496054
2023-01-25,,,,,,82.32931726907631,76.1993246618314,1649210
2023-01-26,,,,,,82.35294117647058,79.02343938234647,1352210
2023-01-27,,,,,,58.9041095890411,74.52878934486267,1920720
2023-01-30,68.23616209637235,,,,,30.612244897959183,57.28976522115695,1233861
2023-01-31,62.108363968574224,,6971.4505195486345,6456.4505195486345,9.357009123751316,7.6923076923076925,32.40288739310266,1402754
2023-02-01,56.65250399901563,,4630.267337580764,6135.267337580764,16.802379645854938,36.53846153846153,24.947671376242806,1357747
2023-02-02,51.768783068783065,,4648.165140758756,3418.165140758756,-3.7641667350248795,17.307692307692307,20.512820512820507,1559017
2023-02-03,49.51322751322751,,3062.20584011147,2192.20584011147,-25.204553664442187,26.923076923076923,26.92307692307692,1220051
2023-02-06,47.88057445200302,,3949.1497488395835,499.1497488395835,-105.78621511516519,12.280701754385964,18.837156995051732,1198785
2023-02-07,45.18500082960013,,4231.676550510623,501.6765505106232,-114.6623436494403,8.771929824561402,15.991902834008096,1100439
2023-02-08,42.53174412461929,,4071.0014955764636,891.0014955764636,-71.99262945660077,15.555555555555555,12.202729044834307,1830445
2023-02-09,39.09174412461929,,5733.883104782086,-86.11689521791413,-126.21767227868057,3.6363636363636362,9.32128300549353,2044662
2023-02-10,37.632863984636785,,4252.773261980248,1502.7732619802482,-99.1407112552472,30.909090909090907,16.7003367003367,1148965
2023-02-13,37.47149711230646,,4691.592895099682,1261.5928950996822,-76.69825378531728,23.636363636363637,19.39393939393939,1312990
2023-02-14,37.11543515752633,,7261.820172039959,-328.1798279600407,-132.51856532700506,1.5151515151515151,18.686868686868685,1964766
2023-02-15,34.70055769059941,,10097.809431093192,-1732.190568906808,-190.30571266483744,1.1904761904761905,8.780663780663781,3313779
2023-02-16,32.977158997788955,,10937.578240052186,-1162.4217599478143,-179.99367686006647,5.319148936170213,2.6749255472659725,3233661
2023-02-17,29.323824273900964,,10796.611539037032,-53.388460962967656,-145.4554669263617,8.695652173913043,5.0684257668531485,2911779
2023-02-20,27.030542620154193,,10096.166762786503,1296.1667627865027,-117.7021602697922,16.304347826086957,10.106382978723405,1632737
2023-02-21,25.81437192953095,103.60888898847688,10139.724472613954,1779.7244726139543,-94.42656116306621,16.27906976744186,13.75968992248062,1464064
2023-02-22,25.96648542960408,55.02717579594784,10741.04391412693,1461.0439141269308,-99.58044774935486,6.024096385542169,12.869171326356996,1511960
2023-02-23,25.69681325627281,94.68702697131789,9893.06109022785,2103.0610902278495,-92.25028884063158,10.0,10.767722050994678,1541622
2023-02-24,26.432889686627817,139.32134860861868,8723.945483673073,3033.945483673073,-70.94023282326033,18.75,11.591365461847388,1348402
2023-02-27,25.99441402087943,112.88547772498839,8349.943150277802,3129.9431502778025,-65.29712615946946,17.5,15.416666666666666,1006540
2023-02-28,27.73311975958516,139.6278098851902,7334.099583953503,3974.0995839535026,-45.360069863763314,28.767123287671232,21.672374429223748,1452723
2023-03-02,29.87607075157045,64.64156908107829,7384.313259019007,3304.313259019007,-46.45512044030503,20.0,22.089041095890412,1628359
2023-03-03,30.07978381954704,21.0684010255614,7479.600147706267,2839.6001477062673,-57.39515925264611,11.428571428571429,20.065231572080886,1077928
2023-03-06,29.41178933509783,42.03621873038413,6547.252894542558,2977.2528945425584,-53.940704614826295,14.925373134328357,15.451314854299929,1162559
2023-03-07,31.016931667512885,77.65213355930186,5391.563888413999,3511.563888413999,-33.311609467703605,45.714285714285715,24.022743425728503,1266350
2023-03-08,34.812025462606684,46.544603286795045,5001.2083932042515,3211.2083932042515,-32.197057933932435,50.0,36.879886282871354,1294264
2023-03-09,39.33828275629937,43.11400067620659,4151.704283618732,3061.704283618732,-22.49122362449835,53.57142857142857,49.76190476190476,1545967
2023-03-10,44.13285794576886,-29.642851575349184,4705.1688910677185,2065.1688910677185,-54.600598975923695,14.814814814814813,39.46208112874779,1165480
2023-03-13,48.31097779183813,25.670969675503322,3028.8614378809652,2128.8614378809652,-42.12054612156995,42.3728813559322,36.91970824739186,1003507
2023-03-14,48.197282701398855,-96.89392785847723,3723.5979597824553,-286.4020402175447,-123.3014288173954,2.7027027027027026,19.963466291149903,1941848
2023-03-15,47.050878904392654,-12.522207981102337,2540.3099383959343,130.3099383959343,-117.03132946998588,18.91891891891892,21.33150099251794,1195377
2023-03-16,43.39669811860641,-55.85407098764282,3679.02528556763,-395.9747144323701,-168.01395639162513,2.4691358024691357,8.030252474696917,1452245
2023-03-17,41.2303246579379,4.651266156233419,3365.139636849868,225.1396368498681,-108.82008537776811,12.345679012345679,11.244577911244576,1765098
2023-03-20,39.26042041717182,14.26684835627929,3475.9752064528075,395.97520645280747,-117.3233106482896,14.285714285714285,9.700176366843031,998405
2023-03-21,38.23365429167819,25.96953323254557,3387.599500024815,632.5995000248149,-103.03835149530836,15.476190476190476,14.035861258083477,922158
