날짜,rsi,macd,upper band diff,lower band diff,CCI,K,D,volume
2023-01-02,,,,,,,,533005
2023-01-03,,,,,,,,802520
2023-01-04,,,,,,,,513432
2023-01-05,,,,,,,,1620409
2023-01-06,,,,,,,,854518
2023-01-09,,,,,,,,711951
2023-01-10,,,,,,,,726599
2023-01-11,,,,,,,,598004
2023-01-12,,,,,,,,1088912
2023-01-13,,,,,,,,1162622
2023-01-16,,,,,,,,679063
2023-01-17,,,,,,,,880725
2023-01-18,,,,,,,,688791
2023-01-19,,,,,,94.54545454545455,,579544
2023-01-20,,,,,,88.18181818181819,,487784
2023-01-25,,,,,,90.0990099009901,90.94209420942094,623234
2023-01-26,,,,,,96.3855421686747,91.55545675049433,1050520
2023-01-27,,,,,,96.96969696969697,94.48474967978724,968248
2023-01-30,78.92431223577287,,,,,64.15094339622641,85.83539417819935,908875
2023-01-31,73.63737694883758,,482.0290030355354,732.0290030355354,31.798368724293262,45.83333333333333,68.98465789975224,993035
2023-02-01,69.52985006711714,,284.7216126957728,755.7216126957728,47.313457093091706,78.26086956521739,62.74838209825904,904108
2023-02-02,65.67477760334904,,239.16792593034734,578.1679259303473,74.98174086314513,62.0,62.031400966183575,959866
2023-02-03,61.8992673992674,,174.39127755497066,437.39127755497066,49.818434657001475,54.761904761904766,65.00759144237405,738467
2023-02-06,57.611143242722186,,353.78335759897163,169.78335759897163,-7.021194037099146,4.761904761904762,40.50793650793651,927818
2023-02-07,54.038783399175905,,401.78562049271113,87.78562049271113,-83.93353054174469,8.0,22.50793650793651,851540
2023-02-08,53.42509686495957,,-0.4755142645235537,518.5244857354764,78.53041187665914,96.0,36.25396825396825,1691944
2023-02-09,51.811061777240276,,90.89314143884985,410.89314143884985,118.41568191719519,80.0,61.333333333333336,935120
2023-02-10,50.950255916434415,,35.86990848714777,447.86990848714777,121.12694004314811,88.67924528301887,88.22641509433963,1056515
2023-02-13,54.274294489688735,,38.87227027796507,448.8722702779651,145.75864433120827,84.48275862068965,84.38733463456951,1158771
2023-02-14,57.98604514376677,,74.53025884187082,442.5302588418708,131.3583356301137,81.35593220338984,84.83931203569945,781700
2023-02-15,56.059647289797454,,236.62795876052223,280.62795876052223,45.947980686220355,54.23728813559322,73.35865965322424,907794
2023-02-16,56.75304745688184,,-95.46160443645385,731.5383955635461,150.90560942530786,98.66666666666667,78.08662900188324,1756149
2023-02-17,56.97358684840568,,138.7290279933659,516.7290279933659,113.69523873303471,70.66666666666667,74.52354048964219,943347
2023-02-20,57.11654911057324,,135.4365265829283,544.4365265829283,89.16502666423479,74.66666666666667,81.33333333333333,496628
2023-02-21,57.05880849342352,0.6300217293971834,107.69495260730218,594.6949526073022,99.62763832893883,82.66666666666667,76.0,833336
2023-02-22,57.544471112901704,-12.115568633080963,301.46529192308935,388.46529192308935,36.32091899897719,57.333333333333336,71.55555555555556,1059681
2023-02-23,56.410684264829136,-8.080761675065377,305.99608713435373,379.99608713435373,28.0957057334677,57.333333333333336,65.77777777777777,699928
2023-02-24,57.105895789056206,-0.9722044070682108,243.78099329272027,448.78099329272027,43.013411072504184,66.66666666666666,60.444444444444436,655548
2023-02-27,56.42701911017953,-12.018905837797742,431.952226936025,249.952226936025,-19.967805742941696,39.726027397260275,54.575342465753415,651778
2023-02-28,54.98234597482718,5.341118069563636,234.03519345068344,418.03519345068344,24.10811001139331,48.93617021276596,51.77628809223096,1211591
2023-03-02,54.54553967335922,-1.0429510601411298,316.4094683377871,330.4094683377871,19.9982120256897,31.914893617021278,40.192363742349166,752969
2023-03-03,52.871842261433564,-9.13600431433123,467.38502977519965,184.38502977519965,-41.83238355020305,0.0,26.950354609929075,552045
2023-03-06,50.92034548235058,11.473861419958014,218.5505458369571,432.5505458369571,12.282814678092949,59.61538461538461,30.510092744135296,1303339
2023-03-07,48.739269920744036,-6.891418731170692,436.1570443151295,150.1570443151295,-26.22998868988295,13.461538461538462,24.35897435897436,742207
2023-03-08,47.975596030135165,-9.89153977387167,515.4282664841921,-5.571733515807864,-160.20690317897723,6.666666666666667,26.58119658119658,935666
2023-03-09,44.80015743364394,-3.716175113622512,514.3318309981651,41.33183099816506,-136.39634717888225,9.25925925925926,9.79582146248813,850046
2023-03-10,43.23003100024199,-7.591694490229733,660.7942725879357,-20.205727412064334,-170.9678592082199,14.084507042253522,10.003477656059816,886784
2023-03-13,40.42558604663906,0.4635706662242107,629.1122422141834,63.112242214183425,-136.8396141384127,19.718309859154928,14.354025386889235,579801
2023-03-14,37.05119195227343,-17.41441893941157,1016.350976897932,-139.64902310206799,-169.83669560850365,0.0,11.267605633802816,977155
2023-03-15,34.08387169083552,-6.921893967799523,1048.30950028595,-38.69049971405002,-151.68210086932166,4.705882352941177,8.141397404032036,792400
2023-03-16,33.38821951692248,-2.2933711208885903,1123.377191290212,13.377191290212068,-142.4592122978807,6.593406593406594,3.7664296487825903,627099
2023-03-17,32.24930666101221,7.187419306636009,1019.1976340179508,122.1976340179508,-110.61521736848464,13.186813186813188,8.162034044386987,1660918
2023-03-20,31.837749226198962,9.798434791807214,990.6662138896281,184.66621388962812,-86.54064022251075,14.285714285714285,11.355311355311356,501397
2023-03-21,31.54914403809629,12.338728128601023,925.229798282744,250.229798282744,-80.23337197730532,17.582417582417584,15.01831501831502,434657
2023-03-22,31.161037621820856,12.789058706678652,846.8750906690593,286.8750906690593,-66.79821190928044,19.78021978021978,17.216117216117215,453840
2023-03-23,31.472074411118513,9.359138207035237,847.4298666362638,286.4298666362638,-73.51451221446422,16.483516483516482,17.94871794871795,648308
